#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A374C1
#Date Time: 2018-09-26 12:53:32.017
#Sample rate: 10000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 10 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.40960000000000002,0.010722026258910038,-0.001586349140421754
-0.40949999999999998,0.010722026258909887,-0.0012549759510004387
-0.40939999999999999,0.010389179777399053,-0.0012549759510004387
-0.4093,0.011387719221932007,-0.0012549759510004387
-0.40920000000000001,0.01238625866646496,-0.0012549759510004387
-0.40910000000000002,0.013384798110997912,-0.0012549759510004387
-0.40899999999999997,0.013717644592509048,-0.0012549759510004387
-0.40889999999999999,0.014050491074019882,-0.0012549759510004387
-0.4088,0.014716184037041851,-0.0012549759510004387
-0.40870000000000001,0.013717644592508897,-0.0012549759510004387
-0.40860000000000002,0.012719105147975944,-0.0012549759510004387
-0.40849999999999997,0.012719105147975944,-0.0015863491404216033
-0.40839999999999999,0.012719105147975944,-0.0012549759510004387
-0.4083,0.012719105147975944,-0.0012549759510004387
-0.40820000000000001,0.013384798110997912,-0.0012549759510004387
-0.40810000000000002,0.013051951629486929,-0.0012549759510004387
-0.40799999999999997,0.011720565703442841,-0.0012549759510004387
-0.40789999999999998,0.011387719221932007,-0.0012549759510004387
-0.4078,0.011054872740421023,-0.0012549759510004387
-0.40770000000000001,0.011387719221932007,-0.0012549759510004387
-0.40760000000000002,0.011387719221932007,-0.0012549759510004387
-0.40749999999999997,0.01105487274042072,-0.0012549759510004387
-0.40739999999999998,0.010389179777399053,-0.0012549759510004387
-0.4073,0.011054872740421023,-0.0012549759510004387
-0.40720000000000001,0.010722026258910038,-0.0012549759510004387
-0.40710000000000002,0.010722026258910038,-0.0012549759510004387
-0.40699999999999997,0.010722026258910189,-0.0012549759510004387
-0.40689999999999998,0.011054872740421023,-0.0012549759510004387
-0.40679999999999999,0.011054872740421023,-0.0012549759510004387
-0.40670000000000001,0.011054872740421023,-0.0012549759510004387
-0.40660000000000002,0.011054872740421023,-0.0012549759510004387
-0.40649999999999997,0.011054872740420872,-0.0012549759510005894
-0.40639999999999998,0.010722026258910038,-0.001586349140421754
-0.40629999999999999,0.011054872740421023,-0.0012549759510004387
-0.40620000000000001,0.012053412184953975,-0.0012549759510004387
-0.40610000000000002,0.013384798110997912,-0.0012549759510004387
-0.40600000000000003,0.013717644592508746,-0.0012549759510004387
-0.40589999999999998,0.014383337555530866,-0.0012549759510004387
-0.40579999999999999,0.014716184037041851,-0.0012549759510004387
-0.40570000000000001,0.014716184037041851,-0.0012549759510004387
-0.40560000000000002,0.013384798110997912,-0.0012549759510004387
-0.40550000000000003,0.01305195162948708,-0.0012549759510004387
-0.40539999999999998,0.013051951629486929,-0.0012549759510004387
-0.40529999999999999,0.013051951629486929,-0.0012549759510004387
-0.4052,0.013384798110997912,-0.0012549759510004387
-0.40510000000000002,0.013717644592508897,-0.0012549759510004387
-0.40500000000000003,0.012386258666465566,-0.0012549759510004387
-0.40489999999999998,0.011720565703442992,-0.0012549759510004387
-0.40479999999999999,0.011387719221932007,-0.0012549759510004387
-0.4047,0.011387719221932007,-0.0012549759510004387
-0.40460000000000002,0.011720565703442992,-0.0012549759510004387
-0.40450000000000003,0.011720565703442992,-0.0015863491404216033
-0.40439999999999998,0.011054872740421023,-0.0012549759510004387
-0.40429999999999999,0.011387719221932007,-0.0012549759510004387
-0.4042,0.011387719221932007,-0.0012549759510004387
-0.40410000000000001,0.011054872740421023,-0.0012549759510004387
-0.40400000000000003,0.010722026258910189,-0.0012549759510004387
-0.40389999999999998,0.011054872740421023,-0.0012549759510004387
-0.40379999999999999,0.011054872740421023,-0.0012549759510004387
-0.4037,0.011054872740421023,-0.0012549759510004387
-0.40360000000000001,0.011054872740421023,-0.0012549759510004387
-0.40350000000000003,0.011054872740421023,-0.0015863491404216033
-0.40339999999999998,0.010722026258910038,-0.0012549759510004387
-0.40329999999999999,0.010722026258910038,-0.001586349140421754
-0.4032,0.011720565703442992,-0.0012549759510004387
-0.40310000000000001,0.013051951629486929,-0.0012549759510004387
-0.40300000000000002,0.013717644592508595,-0.0012549759510004387
-0.40289999999999998,0.013717644592508897,-0.0012549759510004387
-0.40279999999999999,0.014716184037041851,-0.0012549759510004387
-0.4027,0.014383337555530866,-0.001586349140421754
-0.40260000000000001,0.013051951629486929,-0.001586349140421754
-0.40250000000000002,0.012719105147976095,-0.0012549759510005894
-0.40239999999999998,0.012719105147975944,-0.0012549759510004387
-0.40229999999999999,0.01238625866646496,-0.0012549759510004387
-0.4022,0.013051951629486929,-0.0012549759510004387
-0.40210000000000001,0.013384798110997912,-0.001586349140421754
-0.40200000000000002,0.012386258666465415,-0.001586349140421754
-0.40189999999999998,0.011387719221932007,-0.0012549759510004387
-0.40179999999999999,0.011054872740421023,-0.001586349140421754
-0.4017,0.011387719221932007,-0.0012549759510004387
-0.40160000000000001,0.011720565703442992,-0.0012549759510004387
-0.40150000000000002,0.011387719221932158,-0.0012549759510004387
-0.40139999999999998,0.011387719221932007,-0.0012549759510004387
-0.40129999999999999,0.011054872740421023,-0.0012549759510004387
-0.4012,0.011387719221932007,-0.0012549759510004387
-0.40110000000000001,0.011054872740421023,-0.0012549759510004387
-0.40100000000000002,0.010722026258910189,-0.0012549759510004387
