#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A374C1
#Date Time: 2019-02-28 22:10:58.542
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 1.9 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.00024780000000000006,3.1999392626971646,-0.0025804687086857002
-0.00024729999999999999,3.1999392626971646,-0.002911841898106865
-0.00024680000000000036,3.1999392626971646,-0.0025804687086858511
-0.00024630000000000029,3.1999392626971646,-0.002911841898106865
-0.00024580000000000023,3.1999392626971646,-0.0029118418981070155
-0.00024530000000000016,3.1962854249007289,-0.0029118418981070155
-0.0002448000000000001,3.1962854249007289,-0.0029118418981070155
-0.00024430000000000003,3.1999392626971663,-0.003574588276949496
-0.00024379999999999996,3.2035931004935989,-0.0032432150875284812
-0.00024330000000000033,3.1999392626971663,-0.0035745882769494955
-0.00024280000000000026,3.2035931004936007,-0.0035745882769496464
-0.0002423000000000002,3.2072469382900364,-0.0035745882769496464
-0.00024180000000000013,3.2035931004936007,-0.0029118418981070155
-0.00024130000000000006,3.1999392626971646,-0.0032432150875283308
-0.0002408,3.2035931004935989,-0.0032432150875284812
-0.00024030000000000037,3.1999392626971663,-0.0035745882769494955
-0.0002398000000000003,3.1962854249007306,-0.0035745882769496464
-0.00023930000000000023,3.1962854249007289,-0.0032432150875283308
-0.00023880000000000017,3.1999392626971646,-0.0035745882769496464
-0.0002383000000000001,3.1962854249007289,-0.0032432150875283308
-0.00023780000000000003,3.1999392626971663,-0.003574588276949345
-0.00023729999999999997,3.2035931004935989,-0.0029118418981070155
-0.00023680000000000033,3.1999392626971663,-0.0029118418981070155
-0.00023630000000000027,3.2035931004935989,-0.0029118418981070155
-0.0002358000000000002,3.2035931004936007,-0.0029118418981070155
-0.00023530000000000014,3.2035931004936007,-0.0032432150875283308
-0.00023480000000000007,3.2035931004936007,-0.0035745882769496464
-0.0002343,3.1999392626971646,-0.0035745882769497969
-0.00023379999999999994,3.1999392626971646,-0.0039059614663709621
-0.0002333000000000003,3.1999392626971646,-0.0039059614663709621
-0.00023280000000000024,3.1999392626971646,-0.0032432150875283308
-0.00023230000000000017,3.2035931004936007,-0.0029118418981070155
-0.0002318000000000001,3.1962854249007289,-0.0025804687086857002
-0.00023130000000000004,3.192631587104295,-0.0029118418981070155
-0.00023079999999999997,3.1962854249007289,-0.0029118418981073169
-0.00023030000000000034,3.1962854249007289,-0.003574588276949345
-0.00022980000000000027,3.1962854249007289,-0.0039059614663708112
-0.00022930000000000021,3.1999392626971646,-0.0032432150875283308
-0.00022880000000000014,3.1962854249007289,-0.0032432150875283308
-0.00022830000000000007,3.1926315871042932,-0.0035745882769496464
-0.00022780000000000001,3.1962854249007289,-0.0029118418981070155
-0.00022729999999999994,3.1962854249007306,-0.0029118418981070155
-0.00022680000000000031,3.1999392626971628,-0.0029118418981070155
-0.00022630000000000024,3.2035931004936007,-0.0029118418981070155
-0.00022580000000000018,3.1999392626971646,-0.0032432150875283308
-0.00022530000000000011,3.1962854249007289,-0.0035745882769496464
-0.00022480000000000004,3.1962854249007289,-0.0032432150875283308
-0.00022429999999999998,3.1999392626971646,-0.0032432150875283308
-0.00022380000000000034,3.1999392626971646,-0.0032432150875283308
-0.00022330000000000028,3.2035931004935989,-0.002911841898107166
-0.00022280000000000021,3.1999392626971646,-0.0032432150875283308
-0.00022230000000000015,3.1962854249007289,-0.0029118418981070155
-0.00022180000000000008,3.1999392626971646,-0.0029118418981070155
-0.00022130000000000001,3.2035931004936007,-0.0032432150875281803
-0.00022079999999999995,3.2035931004935989,-0.002911841898107166
-0.00022030000000000031,3.1999392626971663,-0.0032432150875281798
-0.00021980000000000025,3.1999392626971646,-0.0029118418981070155
-0.00021930000000000018,3.2035931004936007,-0.0029118418981070155
-0.00021880000000000011,3.2035931004936007,-0.0029118418981070155
-0.00021830000000000005,3.1962854249007289,-0.0029118418981070155
-0.00021779999999999998,3.1962854249007289,-0.0032432150875284812
-0.00021730000000000035,3.1962854249007289,-0.0035745882769494955
-0.00021680000000000028,3.1999392626971628,-0.0029118418981073169
-0.00021630000000000022,3.1962854249007289,-0.0029118418981070155
-0.00021580000000000015,3.1962854249007289,-0.0029118418981070155
-0.00021530000000000008,3.1962854249007289,-0.0032432150875283308
-0.00021480000000000002,3.1962854249007289,-0.0029118418981070155
-0.00021429999999999995,3.1962854249007289,-0.002911841898107166
-0.00021380000000000032,3.1962854249007289,-0.0032432150875281798
-0.00021330000000000025,3.1999392626971646,-0.0029118418981070155
-0.00021280000000000019,3.2035931004936007,-0.0032432150875283308
-0.00021230000000000012,3.1999392626971646,-0.0032432150875283308
-0.00021180000000000005,3.1999392626971646,-0.0032432150875283308
-0.00021129999999999999,3.1962854249007289,-0.0032432150875283308
-0.00021080000000000035,3.1962854249007289,-0.0032432150875283308
-0.00021030000000000029,3.1962854249007289,-0.0035745882769494955
-0.00020980000000000022,3.1962854249007289,-0.0032432150875283308
-0.00020930000000000015,3.1962854249007289,-0.0029118418981070155
-0.00020880000000000009,3.1962854249007289,-0.0029118418981070155
-0.00020830000000000002,3.1962854249007271,-0.0032432150875283308
-0.00020779999999999996,3.192631587104295,-0.0032432150875284812
-0.00020730000000000032,3.1962854249007271,-0.0035745882769494955
-0.00020680000000000026,3.1962854249007289,-0.0032432150875283308
-0.00020630000000000019,3.1926315871042932,-0.0029118418981070155
