#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A374C1
#Date Time: 2018-11-14 19:14:39.734

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
50.000000000000007,0.048215238755437761,24.825254637929067,-31.186638860560876
50.370996815380387,0.048119892930620967,24.82534472725192,-31.440788909796737
50.744746403501189,0.051706384881218342,24.822341530448504,-31.675021018819152
51.121269189760874,0.051345979212981743,24.823071704373113,-31.889771073754844
51.500585751112958,0.050617276709724886,24.822033221193436,-32.147341651755795
51.882716817190669,0.052012496225213534,24.820673063870071,-32.398404653234266
52.267683271439864,0.051997721785345605,24.822135100338411,-32.639883152570988
52.655506152260159,0.051336525501413918,24.823046026749207,-32.865421130005643
53.046206654154744,0.046797640585385283,24.823905992161915,-33.118968944201285
53.439806128888762,0.0509684000988814,24.820876433407811,-33.357307708679159
53.836326086655987,0.050966231692210547,24.820722746784469,-33.616318656421143
54.235788197254557,0.04839708909832599,24.823169897778815,-33.868030948903154
54.63821429127109,0.052880042701482811,24.819973797131553,-34.093264565033138
55.043626361273702,0.050156217745936552,24.821074949980385,-34.334761257826003
55.452046563014108,0.051980016048476282,24.818961931615483,-34.610956171407736
55.863497216638159,0.05067952030410109,24.823244384208142,-34.886966061652132
56.278000807905798,0.048751071345136773,24.822605525774883,-35.148845894683021
56.695579989419947,0.051302730368810029,24.821853351905375,-35.426896544536262
57.116257581864318,0.051145569395298643,24.819470320997464,-35.666736948395169
57.540056575250624,0.048736510497581938,24.821887221371775,-35.904465825271998
57.967000130175123,0.04874230687672898,24.820942122905862,-36.200838830649388
58.397111579084104,0.050300191496831112,24.82198391048972,-36.464769003470494
58.83041442754913,0.050077385373296021,24.820986350442809,-36.709319117060446
59.266932355551702,0.052874355543696509,24.819927022185073,-37.035059617939439
59.706689218777186,0.048831016626346105,24.822134540734105,-37.263250063851132
60.149709049918599,0.047172465943265331,24.824148966984612,-37.546186700276721
60.596016059990127,0.043111702354833817,24.82546645296862,-37.823265729649748
61.04563463964999,0.048489058178824075,24.823244494236846,-38.100646752489638
61.498589360533671,0.04729337699123827,24.824981302051995,-38.390506502422738
61.954904976596509,0.052439247394729188,24.819385715080116,-38.699905049316115
62.414606425466737,0.048116194063211874,24.824250554317622,-38.953578334222811
62.877718829808067,0.04493804459563825,24.825875999735089,-39.240631896444427
63.344267498692901,0.050679858006847801,24.821769158736537,-39.538617554039106
63.814277928985256,0.043864675645378028,24.827451062177403,-39.835716629482718
64.287775806734274,0.050307488480063417,24.821022787888083,-40.127584332252638
64.764787008577983,0.049182055704395586,24.823188105833395,-40.428860294179131
65.245337603157409,0.048541589563188853,24.82406528694451,-40.720705805255761
65.729453852541155,0.044124840411075915,24.826863190467154,-41.052836949490796
66.217162213660842,0.047672330116902251,24.824069124144511,-41.343789054887097
66.708489339756696,0.044530672665312937,24.826362056037237,-41.639205802635502
67.203462081834402,0.048821527577250473,24.823066392820841,-41.942740057942061
67.702107490132335,0.046741563326979624,24.825597019795403,-42.253099952809265
68.204452815599893,0.049510560380941232,24.821986811078673,-42.567901734839438
68.710525511386862,0.04298643570383516,24.827991029662932,-42.907171526253762
69.220353234343605,0.047130833699275738,24.82441974277835,-43.212558444672482
69.73396384653249,0.042068801074389955,24.828111147686084,-43.553474920517289
70.251385416750779,0.0468801115268839,24.823897989943532,-43.883824940935511
70.772646222064267,0.046552619446559133,24.825805704358284,-44.195297374933432
71.297774749352783,0.043202626640698794,24.827304607431984,-44.541897757816173
71.826799696867127,0.047607212705593101,24.82042003002158,-44.931868908170344
72.359749975797186,0.04745323371690377,24.822693083945147,-45.253893456527351
72.896654711851951,0.048593774551568242,24.822616652251959,-45.577317007646798
73.437543246851561,0.046653039327892727,24.822648954744913,-45.921652921965347
73.982445140330384,0.045885768081491106,24.821449544401876,-46.274272286281359
74.531390171152665,0.046445428145392376,24.821762263016684,-46.601827239199395
75.084408339140069,0.045755051849203719,24.822754025071923,-46.963787276071571
75.641529866710854,0.043259806124110678,24.824770799240767,-47.308425549034666
76.202785200531835,0.04695930346338812,24.824930136158425,-47.64815112890733
76.768205013182083,0.04413448962719721,24.826493591839075,-48.02307011411574
77.337820204829228,0.044571132614437299,24.823289950906432,-48.351432825394056
77.911661904918262,0.045992028760044545,24.825290005092803,-48.740936002796559
78.489761473872619,0.043873072190902307,24.826119914823469,-49.091344747875951
79.072150504808008,0.043465348497950036,24.826524062523259,-49.443889284396391
79.658860825259254,0.045089654167477414,24.826330985041821,-49.818401738594957
80.249924498919256,0.04326288312060507,24.827849215346976,-50.191447497253648
80.845373827391512,0.043991272824026748,24.826994660944855,-50.558302046819563
81.445241351955474,0.047589123888669878,24.826483753214951,-50.944767321246502
82.049559855344725,0.042936079687723713,24.828410420656791,-51.322477423391774
82.658362363538572,0.045162615666889366,24.827467261190044,-51.696237164730178
83.271682147567162,0.045390406787549249,24.827645846640102,-52.089684669768531
83.889552725329466,0.044808333246847826,24.827357774672244,-52.483170448611759
84.512007863425055,0.045713191586953861,24.826665559031177,-52.867717645368771
85.139081578999708,0.045118980300609179,24.828911680891636,-53.257528479498774
85.770808141604036,0.046037423150872087,24.827459577555175,-53.653056911686804
86.40722207506677,0.044386885046450983,24.829226493624734,-54.058883266098704
87.048358159381067,0.046494591735701862,24.829407114382938,-54.438527513422088
87.694251432605441,0.041738626981684811,24.833492097860898,-54.843124120010756
88.344937192778701,0.039275532745317553,24.834894868350865,-55.264104946215824
