#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A374C1
#Date Time: 2018-09-25 17:23:25.646
#Sample rate: 20000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 25 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V

Time (s),Channel 1 (V)
0.11865625,0.013717644592508897
0.11870625,0.01238625866646496
0.11875624999999999,0.011720565703442992
0.11880625,0.011387719221932007
0.11885625,0.010722026258910038
0.11890625,0.010722026258910038
0.11895625,0.010389179777399053
0.11900624999999999,0.01005633329588807
0.11905625,0.0097234868143770848
0.11910625,0.0090577938513551164
0.11915625000000001,0.0080592544068221646
0.11920625,0.0073935614438001953
0.11925624999999999,0.007060714962289211
0.11930625,0.0073935614438001953
0.11935625,0.008724947369844133
0.11940625000000001,0.01005633329588807
0.11945625,0.011720565703442992
0.11950624999999999,0.013051951629486929
0.11955625,0.013384798110997912
0.11960625,0.01238625866646496
0.11965625000000001,0.010389179777399053
0.11970625,0.0090577938513551164
0.11975624999999999,0.008724947369844133
0.11980625,0.01005633329588807
0.11985625,0.011054872740421023
0.11990625000000001,0.011720565703442992
0.11995625,0.011720565703442992
0.12000624999999999,0.011054872740421023
0.12005625,0.011054872740421023
0.12010625,0.012053412184953975
0.12015625000000001,0.013717644592508897
0.12020625,0.014716184037041851
0.12025625,0.015049030518552834
0.12030625,0.014383337555530866
0.12035625,0.012719105147975944
0.12040624999999999,0.011387719221932007
0.12045625,0.011054872740421023
0.12050625,0.012053412184953975
0.12055625,0.013051951629486929
0.12060625,0.014383337555530866
0.12065624999999999,0.014716184037041851
0.12070625,0.014050491074019882
0.12075625,0.013051951629486929
0.12080625,0.01238625866646496
0.12085625,0.011387719221932007
0.12090624999999999,0.011387719221932007
0.12095625,0.011720565703442992
0.12100625,0.01238625866646496
0.12105625,0.013051951629486929
0.12110625,0.014050491074019882
0.12115624999999999,0.015381877000063819
0.12120625,0.017046109407618741
0.12125625,0.018377495333662678
0.12130625,0.01937603477819563
0.12135625,0.019708881259706615
0.12140624999999999,0.01937603477819563
0.12145625,0.018710341815173663
0.12150625,0.017378955889129726
0.12155625,0.016047569963085789
0.12160625,0.014716184037041851
0.12165624999999999,0.014050491074019882
0.12170625,0.014050491074019882
0.12175625,0.014050491074019882
0.12180625,0.014383337555530866
0.12185625,0.015381877000063819
0.12190624999999999,0.016713262926107756
0.12195625,0.017378955889129726
0.12200625,0.017378955889129726
0.12205625000000001,0.017046109407618741
0.12210625,0.016047569963085789
0.12215624999999999,0.016047569963085789
0.12220625,0.016713262926107756
0.12225625,0.017711802370640708
0.12230625000000001,0.018377495333662678
0.12235625,0.018044648852151693
0.12240624999999999,0.016713262926107756
0.12245625,0.015049030518552834
0.12250625,0.013717644592508897
0.12255625000000001,0.013051951629486929
0.12260625,0.013384798110997912
0.12265624999999999,0.013384798110997912
0.12270625,0.013051951629486929
0.12275625,0.01238625866646496
0.12280625000000001,0.012053412184953975
0.12285625,0.011720565703442992
0.12290624999999999,0.012053412184953975
0.12295625,0.013717644592508897
0.12300625,0.015381877000063819
0.12305625000000001,0.017046109407618741
0.12310625,0.017046109407618741
0.12315624999999999,0.015714723481574804
0.12320625,0.013051951629486929
0.12325625,0.011054872740421023
0.12330625000000001,0.01005633329588807
0.12335625,0.01005633329588807
0.12340625,0.010389179777399053
0.12345625,0.010722026258910038
0.12350625,0.010722026258910038
0.12355624999999999,0.011387719221932007
0.12360625,0.012053412184953975
0.12365625,0.013051951629486929
0.12370625,0.013384798110997912
0.12375625,0.013384798110997912
0.12380624999999999,0.013717644592508897
0.12385625,0.013384798110997912
0.12390625,0.012719105147975944
0.12395625,0.011720565703442992
0.12400625,0.011054872740421023
0.12405624999999999,0.011387719221932007
0.12410625,0.01238625866646496
0.12415625,0.013384798110997912
0.12420625,0.014383337555530866
0.12425625,0.015049030518552834
0.12430624999999999,0.015381877000063819
0.12435625,0.016047569963085789
0.12440625,0.017046109407618741
0.12445625,0.018044648852151693
0.12450625,0.018377495333662678
0.12455624999999999,0.018710341815173663
0.12460625,0.019043188296684648
0.12465625,0.019043188296684648
0.12470625,0.01937603477819563
0.12475625,0.019708881259706615
0.12480624999999999,0.019708881259706615
0.12485625,0.01937603477819563
0.12490625,0.018710341815173663
0.12495625,0.018044648852151693
0.12500625000000001,0.017711802370640708
0.12505625000000001,0.018377495333662678
0.12510625,0.0200417277412176
0.12515625000000002,0.021373113667261537
0.12520625000000002,0.022038806630283507
0.12525625000000001,0.022038806630283507
0.12530625000000001,0.021040267185750552
0.12535625,0.0200417277412176
0.12540625000000002,0.019043188296684648
0.12545625000000002,0.019043188296684648
0.12550625000000001,0.019043188296684648
0.12555625000000001,0.018710341815173663
0.12560625,0.018044648852151693
0.12565625000000002,0.017046109407618741
0.12570625000000002,0.016380416444596771
0.12575625000000001,0.016380416444596771
0.12580625000000001,0.017378955889129726
0.12585625,0.018377495333662678
0.12590625000000003,0.019043188296684648
0.12595625000000002,0.01937603477819563
0.12600625000000001,0.019043188296684648
0.12605625000000001,0.017711802370640708
0.12610625,0.016713262926107756
0.12615625000000003,0.015714723481574804
0.12620625000000002,0.015714723481574804
0.12625625000000001,0.016047569963085789
0.12630625000000001,0.016380416444596771
0.12635625,0.016047569963085789
0.12640625000000003,0.015714723481574804
0.12645625000000002,0.015381877000063819
0.12650625000000001,0.015381877000063819
0.12655625000000001,0.015714723481574804
0.12660625,0.016380416444596771
0.12665625000000003,0.016380416444596771
0.12670625000000002,0.015714723481574804
0.12675625000000001,0.015381877000063819
